"Banque Nationale de Belgique","Boulevard de Berlaimont 3, 1000 Bruxelles","0"
"Anderlecht","Pl. du Conseil 1,1070 Anderlecht","118920"
"Auderghem","Maison Communale d'Auderghem, Rue Emile Idiers 12,1160 Auderghem","33970"
"Berchem-Sainte-Agathe","Av. du Roi Albert 33,1082 Berchem-Sainte-Agathe","25195"
"Bruxelles-Ville","Boulevard Anspach 6,1000 Bruxelles, Belgique","179797"
"Etterbeek","Av. des Casernes 31,1040 Etterbeek","48008"
"Evere","Sq. Servaes Hoedemaekers 10,1140 Evere","41588"
"Forest","Rue du Patinage 30,1190 Forest","55925"
"Ganshoren","Keizer Karellaan 140,1083 Ganshoren","24817"
"Ixelles","Chaussee ixelles 168,1050 Ixelles","86675"
"Jette","Chaussee de Wemmel 100,1090 Jette","52417"
"Koekelberg","Henri Vanhuffelplein 6,1081 Koekelberg","21961"
"Molenbeek-Saint-Jean","Rue du Comte de Flandre 20","96501"
"Saint-Gilles","Place Maurice van Meenen 39,1060 Saint-Gilles","49715"
"Saint-Josse-ten-Noode","Avenue de l'Astronomie 12,1210 Saint-Josse-ten-Noode","27087"
"Schaerbeek","Pl. Colignon,1030 Schaerbeek","131547"
"Uccle","Pl. Jean Vander Elst 29,1180 Uccle","82742"
"Boitsfort","Place Antoine Gilson 1","25172"
"Woluwe-Saint-Lambert","Avenue Paul Hymans 2,1200 Woluwe-Saint-Lambert","56496"
"Woluwe-Saint-Pierre","Avenue Charles Thielemans 93,1150 Woluwe-Saint-Pierre","41789"
